age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
35-44,Teacher,82000.0,0.0,USD,United States,California,Sacramento,15.5,15.5,Masters,Woman,Education & Training,Lead/Executive
35-44,Compliance Counsel,195000.0,35000.0,USD,United States,Georgia,Atlanta,15.5,15.5,Professional Degree,Woman,Legal Services,Lead/Executive
35-44,Sr. Program Manager,162854.0,24000.0,USD,United States,Washington,Redmond,15.5,15.5,Masters,Woman,Management,Lead/Executive
35-44,Teacher,75000.0,0.0,USD,United States,Ohio,Hudson,15.5,15.5,Masters,Woman,Education & Training,Lead/Executive
45-54,Director Of It Architecture,126836.0,114820.0,GBP,United Kingdom,N/A,Manchester,25.5,25.5,Masters,Prefer Not to Answer,Management,Lead/Executive
25-34,Key Account Technology Manager,132900.0,22000.0,USD,United States,Arizona,Phoenix,6.0,3.0,Masters,Woman,Management,Senior
35-44,Senior Financial Analyst,60000.0,0.0,USD,United States,Pennsylvania,York,15.5,15.5,Masters,Woman,Analytics,Lead/Executive
25-34,Paralegal,104000.0,2000.0,USD,United States,North Carolina,Raleigh,9.0,6.0,College,Woman,Legal Services,Senior
25-34,Teacher,42000.0,0.0,USD,United States,Nebraska,Lincoln,6.0,6.0,Masters,Woman,Education & Training,Senior
45-54,Senior Technical Editor,50000.0,4500.0,USD,United States,Arizona,Tucson,25.5,25.5,Masters,Woman,Creative & Media,Lead/Executive
25-34,Registered Nurse,54000.0,0.0,USD,United States,Missouri,St. Louis,6.0,6.0,College,Woman,Healthcare,Senior
35-44,Physical Therapist,110000.0,5000.0,USD,United States,California,Vacaville,15.5,15.5,Professional Degree,Woman,Healthcare,Lead/Executive
55-64,Corporate Counsel,140000.0,10000.0,USD,United States,Colorado,Denver,25.5,25.5,Professional Degree,Woman,Legal Services,Lead/Executive
35-44,Vendor Compliance Specialist,38000.0,0.0,USD,United States,California,Ontario,3.0,3.0,College,Woman,Specialist,Mid Level
25-34,Sales & Marketing Coordinator,55000.0,0.0,USD,United States,Illinois,Chicago,9.0,6.0,College,Man,Administrative & Operations,Senior
35-44,Marketing Director,136000.0,20000.0,USD,United States,District Of Columbia,"Washington, Dc",15.5,15.5,College,Woman,Management,Lead/Executive
35-44,Marketing Director,136000.0,20000.0,USD,United States,District Of Columbia,"Washington, Dc",15.5,15.5,College,Woman,Management,Lead/Executive
25-34,Account Manager,57000.0,30000.0,USD,United States,Missouri,Saint Louis,6.0,6.0,College,Woman,Management,Senior
45-54,Executive Assistant,80500.0,0.0,USD,United States,Ohio,Cleveland,25.5,25.5,College,Woman,Administrative & Operations,Lead/Executive
35-44,Associate Director Of Philanthropy Operations,115000.0,0.0,USD,United States,California,San Francisco,15.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Registered Vet Tech,39000.0,2500.0,USD,United States,Ohio,Columbus,15.5,15.5,College,Woman,Engineering & Development,Lead/Executive
25-34,Registered Vet Tech,39000.0,2500.0,USD,United States,Ohio,Columbus,15.5,15.5,College,Woman,Engineering & Development,Lead/Executive
25-34,Marketing Manager,100000.0,0.0,USD,United States,Virginia,Richmond Va,9.0,6.0,Masters,Woman,Management,Senior
45-54,Registered Nurse,120000.0,0.0,USD,United States,Illinois,Hines,25.5,25.5,College,Woman,Healthcare,Lead/Executive
